pincode,latitude,longitude,zone_id
110001,28.6433611,77.2009167,ZN-012
110002,28.6471667,77.2399444,ZN-012
110003,28.6317778,77.24025,ZN-012
110004,28.6210833,77.1961389,ZN-012
110005,28.6614722,77.1780556,ZN-012
110006,28.662197,77.235397,ZN-012
110007,28.68975,77.2152778,ZN-012
110008,28.6527778,77.1558889,ZN-012
110009,28.71525,77.2044444,ZN-012
110010,28.60688,77.129241,ZN-012
110011,28.6111111,77.21275,ZN-012
110012,28.6401944,77.1659722,ZN-012
110013,28.5912222,77.2423333,ZN-012
110014,28.5838611,77.2431944,ZN-012
110015,28.6659722,77.1647778,ZN-012
110016,28.5558611,77.2021389,ZN-012
110017,28.544134,77.228442,ZN-012
110018,28.6576111,77.0999444,ZN-012
110019,28.5498056,77.3210556,ZN-012
110020,28.5577222,77.2648333,ZN-012
110021,28.6139722,77.1256111,ZN-012
110022,28.5722222,77.1732778,ZN-012
110023,28.58,77.19,ZN-012
110024,28.58,77.23,ZN-012
110025,28.5671667,77.2787778,ZN-012
110026,28.673232,77.131978,ZN-012
110027,28.6467222,77.1124722,ZN-012
110028,28.632141,77.138852,ZN-012
110029,28.5664228,77.1998703,ZN-012
110030,28.5303611,77.1889722,ZN-012
110031,28.69225,77.2742222,ZN-012
110032,28.6921667,77.3042222,ZN-012
110033,28.7305,77.1754722,ZN-012
110034,28.7061667,77.1483333,ZN-012
110035,28.6921111,77.1578611,ZN-012
110036,28.7996944,77.0380555,ZN-012
110037,28.5745556,77.0975556,ZN-012
110038,28.52,77.09,ZN-011
110039,28.7996944,77.0380555,ZN-012
110040,28.8508056,77.0880556,ZN-012
110041,28.6829722,77.0718056,ZN-012
110042,28.7463611,77.1185278,ZN-012
110043,31.774749,75.998545,ZN-025
110044,28.53,77.21,ZN-012
110045,28.609675,77.089542,ZN-012
110046,28.6110556,77.1029167,ZN-012
110047,28.478918,77.120143,ZN-011
110048,28.5471667,77.2438056,ZN-012
110049,28.566209,77.217965,ZN-012
110051,28.69225,77.3042222,ZN-012
110052,28.6933611,77.1713889,ZN-012
110053,28.7020833,77.26425,ZN-012
110054,28.7060278,77.2217778,ZN-012
110055,28.6461111,77.2094167,ZN-012
110056,28.6827222,77.1111111,ZN-012
110057,28.568,77.1594167,ZN-012
110058,28.636095,77.096574,ZN-012
110059,28.637713,77.049026,ZN-012
110060,28.6367222,77.1831111,ZN-012
