pincode,LAT ,Long
110001,28.6433611,77.2009167
110002,28.6471667,77.2399444
110003,28.6317778,77.24025
110004,28.6210833,77.1961389
110005,28.6614722,77.1780556
110006,28.662197,77.235397
110007,28.68975,77.2152778
110008,28.6527778,77.1558889
110009,28.71525,77.2044444
110010,28.60688,77.129241
110011,28.6111111,77.21275
110012,28.6401944,77.1659722
110013,28.5912222,77.2423333
110014,28.5838611,77.2431944
110015,28.6659722,77.1647778
110016,28.5558611,77.2021389
110017,28.544134,77.228442
110018,28.6576111,77.0999444
110019,28.5498056,77.3210556
110020,28.5577222,77.2648333
110021,28.6139722,77.1256111
110022,28.5722222,77.1732778
110023,28.58,77.19
110024,28.58,77.23
110025,28.5671667,77.2787778
110026,28.673232,77.131978
110027,28.6467222,77.1124722
110028,28.632141,77.138852
110029,28.5664228,77.1998703
110030,28.5303611,77.1889722
110031,28.69225,77.2742222
110032,28.6921667,77.3042222
110033,28.7305,77.1754722
110034,28.7061667,77.1483333
110035,28.6921111,77.1578611
110036,28.7996944,77.0380555
110037,28.5745556,77.0975556
110038,28.52,77.09
110039,28.7996944,77.0380555
110040,28.8508056,77.0880556
110041,28.6829722,77.0718056
110042,28.7463611,77.1185278
110043,31.774749,75.998545
110044,28.53,77.21
110045,28.609675,77.089542
110046,28.6110556,77.1029167
110047,28.478918,77.120143
110048,28.5471667,77.2438056
110049,28.566209,77.217965
110051,28.69225,77.3042222
110052,28.6933611,77.1713889
110053,28.7020833,77.26425
110054,28.7060278,77.2217778
110055,28.6461111,77.2094167
110056,28.6827222,77.1111111
110057,28.568,77.1594167
110058,28.636095,77.096574
110059,28.637713,77.049026
110060,28.6367222,77.1831111
110061,28.54,77.05
110062,28.5276111,77.2328056
110063,28.6735833,77.1226111
110064,28.6317778,77.1259167
110065,28.569126,77.253601
110066,28.567136,77.185239
110067,28.5550833,77.1762222
110068,28.5012222,77.2003056
110069,28.6225833,77.2127222
110070,28.534162,77.152685
110071,28.574806,77.627685
110072,28.652588,76.956454
110073,32.643914,74.046903
110074,28.50842,77.20918
110075,28.6068611,77.0415278
110076,28.5348333,77.2911667
110077,28.587944,77.072276
110078,28.6330278,77.1366389
110080,28.515085,77.225752
110081,28.7349167,77.0055556
110082,28.7721667,77.119
110083,28.7147778,77.0878333
110084,28.7691574,77.17729
110085,28.73545,77.117477
110086,28.7016111,77.0797222
110087,28.6800278,77.07875
110088,28.7246667,77.1469444
110089,28.7348056,77.1325
110090,28.7262778,77.2476944
110091,28.6198333,77.3121111
110092,28.69225,77.3042222
110093,28.7021944,77.3236389
110094,28.7039444,77.2833056
110095,28.6891667,77.3285
110096,28.6221944,77.3167222
110097,28.528884,77.086554
110099,28.720596,77.080909
110102,28.6314278,77.205714
110106,28.662289,77.235553
110110,28.71575,77.11
110119,28.542802,77.257506
110124,28.567906,77.241397
110151,28.645733,77.2997737
110195,28.673961,77.319696
121001,28.5461389,77.2814722
121002,28.7080833,77.2719167
121003,28.463698,77.333878
121004,31.057677,75.906401
121005,28.3917778,77.3021389
121006,28.3917778,77.3021389
121007,28.395403,77.315292
121008,28.3917778,77.3021389
121009,28.4881111,77.2945833
121010,28.5821389,77.9790278
121012,28.3917778,77.3021389
121013,28.3917778,77.3021389
121014,28.4726,77.4848
121015,28.3453,77.2965
121101,30.830993,76.574831
121102,41.799451,87.588696
121103,46.933228,8.761888
121105,28.3917778,77.3021389
121106,32.878716,73.727191
121107,28.36031,77.471631
121999,28.3917778,77.3021389
122001,28.4782581,77.0608139
122002,28.466093,77.1058349
122003,28.462,77.0316389
122004,28.44104,77.01742
122005,28.5056111,77.0710556
122006,28.492678,77.012012
122007,28.462,77.0316389
122008,28.462,77.0316389
122009,28.3408889,76.7561944
122010,28.466093,77.1058349
122011,28.462,77.0316389
122012,28.413887,76.9931945
122015,28.4973611,77.0630556
122016,28.4965833,77.0852778
122017,28.462,77.0316389
122018,28.462,77.0316389
122051,28.344247,76.943839
122052,28.342,76.9364722
122098,28.3913822,77.0511932
122101,28.3928333,77.0549167
122102,28.352169,77.06471
122103,28.40025,77.0675278
122104,27.7781944,76.9451944
122105,28.3308889,76.7835833
122107,28.1020556,76.0044722
122108,27.9204,76.984468
122413,29.387631,77.446429
122414,28.28825,76.6841389
122502,28.292981,76.697254
122503,28.3332778,76.7737778
122504,28.467015,77.081198
122505,28.4384722,76.9354444
122506,28.46698,77.05641
122508,27.8635,77.2030833
122998,28.4660573,77.1056478
122999,28.496716,77.08547
123001,228.04489,76.117029
123021,28.100932,76.253154
123023,27.892541,76.110493
123024,28.378752,75.96466
123027,28.336368,76.306545
123028,28.191762,76.130587
123029,28.2653333,76.1439444
123031,28.271019,76.149389
123034,28.3843056,76.1831389
123035,28.3561667,76.62175
123101,28.209,76.8841111
123102,28.1501944,76.3992778
123103,28.1728056,76.402
123106,28.2306667,76.80025
123110,28.2335556,77.8032778
123301,28.3571944,76.5355
123302,28.4002222,76.4839167
123303,28.4120556,76.398
123304,28.409434,76.397007
123401,28.202722,76.616953
123411,28.2938611,76.3839722
123412,28.2017222,76.5955833
123501,28.0733889,76.5809722
124001,28.901439,76.564005
124010,28.8955833,76.5925278
124021,28.8752778,76.6416111
124022,28.8876389,76.4276667
124102,28.759966,76.931763
124103,28.728528,76.554108
124104,28.781163,76.748085
124105,28.681179,76.902704
124106,28.735904,76.510506
124107,28.781163,76.864815
124108,28.735904,76.510506
124109,28.552824,76.554108
124111,28.9403611,76.4338889
124112,29.9631944,76.7951944
124113,28.8955833,76.5925278
124141,28.8955833,76.5925278
124142,28.725367,76.562691
124146,28.681179,76.510506
124201,28.8955833,76.5925278
124202,28.728528,76.437206
124303,29.0261111,76.6127777
124401,28.9035,76.7056667
124404,28.681179,76.902704
124406,28.8909167,76.7828889
124411,28.8220278,76.3936667
124412,28.7615556,76.4896389
124501,28.681179,76.902704
124504,28.681179,76.902704
124505,28.786297,76.866875
124506,28.735904,76.902704
124507,28.681179,76.902704
124508,28.7033,76.9117
124513,29.0100277,76.3781722
124514,29.042777,76.477058
124515,28.55027,77.5542589
125001,29.402101,75.703616
125004,29.508192,75.4535162
